Index1,Index2,User1,User2,Tweet1,Tweet2
3,2458,piaelizabethvm,valesplv, simonlodijo ruidosafest franciscamusic giovannaroa diegosporzio cami simplemente la mejor, simonlodijo ruidosafest franciscamusic giovannaroa diegosporzio 
75,37355,Patriotico_7,Soyunalias, tere_marinovic fundacionfnm youtube bravissimo , tere_marinovic fundacionfnm youtube 
104,20314,freemago2019,Vamos_Estrella, benitobaranda ladrn , benitobaranda 
105,11625,leonardo1966o,varancib, tere_marinovic mcubillossigall berfontaine, berfontaine mcubillossigall tere_marinovic
105,11838,leonardo1966o,varancib, tere_marinovic mcubillossigall berfontaine, tere_marinovic mcubillossigall berfontaine fridasikahlo
122,7619,francisquitalop,Rol_TS, larrainde tere_marinovic , tere_marinovic 5
122,1351,francisquitalop,vilolo2010, larrainde tere_marinovic , tere_marinovic 
122,20683,francisquitalop,RpkAlejandro, larrainde tere_marinovic , tere_marinovic seca 
122,1804,francisquitalop,Roberto04180320, larrainde tere_marinovic , tere_marinovic 69
122,29868,francisquitalop,MiguelO81244513, larrainde tere_marinovic , tere_marinovic a si es
122,14844,francisquitalop,Rodrigo91264794, larrainde tere_marinovic , tere_marinovic cagan
155,8908,NatitoOdiosa,alonsosilva, gdominguez_ ponifilmico novenio yapojuampi convencioncl noneutrales rechazo, gdominguez_ ponifilmico novenio yapojuampi convencioncl noneutrales this_vid
155,9233,NatitoOdiosa,impresions, gdominguez_ ponifilmico novenio yapojuampi convencioncl noneutrales rechazo, gdominguez_ ponifilmico novenio yapojuampi convencioncl noneutrales unitario eso me encanta 
155,509,NatitoOdiosa,AliciaA80121904, gdominguez_ ponifilmico novenio yapojuampi convencioncl noneutrales rechazo, gdominguez_ patriciapolitz ponifilmico novenio yapojuampi convencioncl noneutrales 
155,8991,NatitoOdiosa,Maurojara78, gdominguez_ ponifilmico novenio yapojuampi convencioncl noneutrales rechazo, gdominguez_ ponifilmico novenio yapojuampi convencioncl noneutrales awante gaspar
186,14279,realpatriot_22,LaGrinsh, jaime_bassa rechazocrece rechazodesalida rechazoelmamarracho convencioncl,impresentable otro motivo mas para rechazodesalida rechazoelmamarracho convencionculia
190,588,Arcanoelmago,Braaulioop96, cretton15 izkia , cretton15 izkia qued 
236,11685,despotricardo,hambrisco, lieben_dreams bsepulvedahales , bsepulvedahales ayer sali spy x family 
236,11466,despotricardo,ADTerZ, lieben_dreams bsepulvedahales , bsepulvedahales ousama ranking 
236,8270,despotricardo,Calderapresente, lieben_dreams bsepulvedahales , bsepulvedahales 
236,29872,despotricardo,davidalegando, lieben_dreams bsepulvedahales , bsepulvedahales apruebo
247,570,PabloFabres3,cavaly78, rredford_1971 darjo_1510 tere_marinovic joseantoniokast camila vallejos 2026 asegurado, rredford_1971 darjo_1510 tere_marinovic joseantoniokast 
298,7618,RuthSalinasGal,Remero90871205, rodrigo_logan , rodrigo_logan te
298,4898,RuthSalinasGal,Jaimeteov, rodrigo_logan , rodrigo_logan shuuuu
298,7941,RuthSalinasGal,Nana24519201, rodrigo_logan , rodrigo_logan chanta 
298,35527,RuthSalinasGal,jsarriao, rodrigo_logan , rodrigo_logan 0
298,17704,RuthSalinasGal,silvapra1973, rodrigo_logan , rodrigo_logan no
298,7655,RuthSalinasGal,jineteado1, rodrigo_logan , rodrigo_logan rechazo
298,17707,RuthSalinasGal,elinmortal1971, rodrigo_logan , rodrigo_logan no 
298,30445,RuthSalinasGal,JardaniJovono17, rodrigo_logan , rodrigo_logan amp 
298,17720,RuthSalinasGal,Marily73, rodrigo_logan , rodrigo_logan nooooo
333,20840,GalvarinoPinda,Francis59320797, felipekast baradit aweonao no te creemos nada, felipekast baradit aweonao kast
354,8233,VirginiaPlubins,vilmokis, sebastian_gray arturozunigaj martinarrau siempre fue, sebastian_gray arturozunigaj martinarrau siempre
378,2070,nacho_2024,borishmelochupa, chask00n mcubillossigall izkia empate , chask00n mcubillossigall izkia 
509,9233,AliciaA80121904,impresions, gdominguez_ patriciapolitz ponifilmico novenio yapojuampi convencioncl noneutrales , gdominguez_ ponifilmico novenio yapojuampi convencioncl noneutrales unitario eso me encanta 
509,8908,AliciaA80121904,alonsosilva, gdominguez_ patriciapolitz ponifilmico novenio yapojuampi convencioncl noneutrales , gdominguez_ ponifilmico novenio yapojuampi convencioncl noneutrales this_vid
532,20257,marcelatapiavas,lala161426, equipo_patriota girealaderecha melnicksergio aleweisse barchiesid6 pizarro_pamela joseantoniokast tere_marinovic piaadriasola , equipo_patriota girealaderecha melnicksergio tere_marinovic joseantoniokast barchiesid6 piaadriasola cristian_arayal gobierna la onu
535,20603,cristiancancin2,venegastoro, labeasanchez,cc labeasanchez
535,28118,cristiancancin2,Leonardochile, labeasanchez, labeasanchez 
537,772,Evelyn_Andrea,mcornejotoro, makeka rechazodesalida, rechazodesalida rechazodesalida rechazodesalida
537,750,Evelyn_Andrea,SSAF_AL, makeka rechazodesalida, rechazodesalida
537,1903,Evelyn_Andrea,SoleVerito1, makeka rechazodesalida, rechazodesalida 
537,24733,Evelyn_Andrea,Franco77923096, makeka rechazodesalida, rechazodesalida rechazo
554,31138,ArielHipotester,tatty1977, mdaza_abogado convencioncl , mdaza_abogado convencioncl te tenemos q aplaudir 
554,30148,ArielHipotester,ArturoJacoby, mdaza_abogado convencioncl , mdaza_abogado convencioncl y 
554,21003,ArielHipotester,delamasoft, mdaza_abogado convencioncl , mdaza_abogado convencioncl asustado 
554,2026,ArielHipotester,RedBlackRafo, mdaza_abogado convencioncl , mdaza_abogado convencioncl economia un 0
554,21555,ArielHipotester,SaradelCarmen02, mdaza_abogado convencioncl , mdaza_abogado convencioncl apruebo si o si 
554,30805,ArielHipotester,Catalina21777, mdaza_abogado convencioncl , mdaza_abogado convencioncl sea nada nuevo
554,11545,ArielHipotester,SraBetsy, mdaza_abogado convencioncl , mdaza_abogado convencioncl yo apruebo
554,11610,ArielHipotester,bernardita_isa, mdaza_abogado convencioncl , mdaza_abogado convencioncl bien 
554,6303,ArielHipotester,Anastas65109222, mdaza_abogado convencioncl , mdaza_abogado convencionculia
572,34912,gusher06,alejand38371671, zuritara rechazoelmamarracho rechazocrece rechazodesalida rechazoganael4deseptiembre rechazoporchile rechazo, italofranzani rechazoganael4deseptiembre rechazocrece rechazoelmamarracho rechazodesalida 
572,2653,gusher06,silvanafati77, zuritara rechazoelmamarracho rechazocrece rechazodesalida rechazoganael4deseptiembre rechazoporchile rechazo,hay que rechazoelmamarracho rechazoganael4deseptiembre rechazodesalida 4septiembrerechazo
572,25671,gusher06,Daniela23567512, zuritara rechazoelmamarracho rechazocrece rechazodesalida rechazoganael4deseptiembre rechazoporchile rechazo, rechazodesalida2022 rechazoelmamarracho rechazoganael4deseptiembre
572,33482,gusher06,prozgan, zuritara rechazoelmamarracho rechazocrece rechazodesalida rechazoganael4deseptiembre rechazoporchile rechazo, bsepulvedahales bienvenido rechazodesalida2022 rechazoganael4deseptiembre rechazoelmamarracho
572,25618,gusher06,JackoProu, zuritara rechazoelmamarracho rechazocrece rechazodesalida rechazoganael4deseptiembre rechazoporchile rechazo, rechazoganael4deseptiembre rechazoelmamarracho rechazodesalida
572,9752,gusher06,jorge_ortega_o, zuritara rechazoelmamarracho rechazocrece rechazodesalida rechazoganael4deseptiembre rechazoporchile rechazo, ncastilo rechazoelmamarracho rechazocrece rechazodesalida2022 rechazodesalida rechazoganael4deseptiembre rechazoconstitucioncomunista
572,34911,gusher06,alejand38371671, zuritara rechazoelmamarracho rechazocrece rechazodesalida rechazoganael4deseptiembre rechazoporchile rechazo, brebolledod17 rechazoganael4deseptiembre rechazocrece rechazoelmamarracho rechazodesalida 
572,34909,gusher06,alejand38371671, zuritara rechazoelmamarracho rechazocrece rechazodesalida rechazoganael4deseptiembre rechazoporchile rechazo, t13 rechazoganael4deseptiembre rechazocrece rechazoelmamarracho rechazodesalida 
572,14142,gusher06,janelg88, zuritara rechazoelmamarracho rechazocrece rechazodesalida rechazoganael4deseptiembre rechazoporchile rechazo, rechazodesalida rechazocrece rechazoporchile rechazoelmamarracho rechazoganael4deseptiembre
572,5663,gusher06,Mi_otro_Yo_2021, zuritara rechazoelmamarracho rechazocrece rechazodesalida rechazoganael4deseptiembre rechazoporchile rechazo, rechazoganael4deseptiembre rechazoelmamarrachocomunista rechazodesalida rechazocrece
594,10562,Clara_Bella_,IdeNatacha, gdominguez_ convencioncl noneutrales claro , gdominguez_ convencioncl noneutrales rechazo
594,10564,Clara_Bella_,jcharle10, gdominguez_ convencioncl noneutrales claro , gdominguez_ convencioncl noneutrales puro pico
594,10544,Clara_Bella_,rodrigopachecor, gdominguez_ convencioncl noneutrales claro , gdominguez_ convencioncl noneutrales 
594,43450,Clara_Bella_,RPM81300005, gdominguez_ convencioncl noneutrales claro , gdominguez_ convencioncl noneutrales convencionculia
625,19673,LucianoErnest15,Dayana24074000, colectivo_pcd labeasanchez squellaagustin mariova25830274 paulinavelosom1 lisettevergarar cuentan 100 conmigo, colectivo_pcd lucianoernest15 squellaagustin mariova25830274 paulinavelosom1 lisettevergarar as es
644,4706,LuciaMu09509217,PamelaO62005744,rechazo ,rechazo
644,29788,LuciaMu09509217,huinka2000,rechazo , rechazo 
681,24442,marcelotoralc,Alejandrito_N,jajajajaja ,jajajaja 
681,41455,marcelotoralc,FidelCastroMor2,jajajajaja ,jajajajajajaja 
689,20322,jacquel87252596,Erwinvogelh,jajajajaja,jajajajaj
689,17446,jacquel87252596,crlss13,jajajajaja,jajajajajajajajajajaj
689,9801,jacquel87252596,kymantizurdos,jajajajaja,wajajajajajaja
689,41002,jacquel87252596,matiasmiranda_g,jajajajaja,jajajajajajajajajaja
689,6093,jacquel87252596,ramonyanez13,jajajajaja,jajajaja
689,24469,jacquel87252596,ofelia90210,jajajajaja,jajajajajajajajaja
689,9887,jacquel87252596,DiegoHipocrita,jajajajaja,ajajajajajajaj
694,4736,NiltoEly,iuris__prudente,ser hermoso ,y ser hermoso 
733,21612,4everdiestro,sinvozpolitica,y despus se quejan por qu el rechazocrece rechazoelmamarracho rechazodesalida2022, rechazocrece rechazoelmamarracho rechazodesalida2022
748,20852,Serguei_y_punto,ioranaa,que barbaridad lleg el circo rechazocrece rechazodesalida2022, rechazocrece rechazodesalida2022
750,6272,SSAF_AL,jhhf82, rechazodesalida, latercera rechazodesalida
750,772,SSAF_AL,mcornejotoro, rechazodesalida, rechazodesalida rechazodesalida rechazodesalida
750,29895,SSAF_AL,cesar_aron_c, rechazodesalida, rechazo rechazodesalida
750,11499,SSAF_AL,glastroncarlson, rechazodesalida, rechazodesalida2022 rechazodesalida
750,1805,SSAF_AL,73Centinela, rechazodesalida, rechazodesalida2022
750,1903,SSAF_AL,SoleVerito1, rechazodesalida, rechazodesalida 
750,27217,SSAF_AL,Daniela23567512, rechazodesalida, rechazodesalida2022 rechazoporchile
750,9941,SSAF_AL,HAL9000r, rechazodesalida,obvio rechazodesalida
750,24733,SSAF_AL,Franco77923096, rechazodesalida, rechazodesalida rechazo
753,20705,L1z4rdqueen,polchitexx, asambleaconstituyente yaaa , asambleaconstituyente ya 
753,7790,L1z4rdqueen,BenaventeMotta, asambleaconstituyente yaaa , asambleaconstituyente ahora 
753,21015,L1z4rdqueen,claveverde_org, asambleaconstituyente yaaa , distinguidad4ma asambleaconstituyente
753,7646,L1z4rdqueen,FrankMarvin_, asambleaconstituyente yaaa , asambleaconstituyente
758,7883,angelica___2,Miltonterasss, renunciaizkia izquierdamiserable rechazodesalida, izquierdamiserable rechazodesalida
760,3129,MEugeniaDiazJ,PepVenturi, convencionconstitucional, convencionconstitucional 
760,31019,MEugeniaDiazJ,macadelamaza, convencionconstitucional, convencionconstitucional convencionconstituyente
765,7621,NahirNavarro1,criveraal, apruebodesalida, yoapruebodesalida
765,13157,NahirNavarro1,NatalyEspin0za, apruebodesalida, apruebodesalida 
765,8237,NahirNavarro1,AKutrul, apruebodesalida, apruebodesalida apruebodesalida apruebodesalida
765,24732,NahirNavarro1,clausabat, apruebodesalida, apruebodesalida apruebo
767,1840,fifernand,MaculApruebo, laconvencionavanza, laconvencionavanza 
768,769,Andrea25Chilena,criacan, acusacionconstitucional, acusacionconstitucionalizkia
772,41795,mcornejotoro,Miltonterasss, rechazodesalida rechazodesalida rechazodesalida, rechazodesalida rechazoel
772,27651,mcornejotoro,bernard54865896, rechazodesalida rechazodesalida rechazodesalida, jaime_bassa rechazodesalida rechazoporchile
772,29895,mcornejotoro,cesar_aron_c, rechazodesalida rechazodesalida rechazodesalida, rechazo rechazodesalida
772,14124,mcornejotoro,PaulaCarrascoM2, rechazodesalida rechazodesalida rechazodesalida, rechazodesalida2022 rechazopopular rechazodesalida rechazo
772,1903,mcornejotoro,SoleVerito1, rechazodesalida rechazodesalida rechazodesalida, rechazodesalida 
772,1902,mcornejotoro,marcelabarrigav, rechazodesalida rechazodesalida rechazodesalida, rechazodesalida rechazoporchile
772,15385,mcornejotoro,_frederic_, rechazodesalida rechazodesalida rechazodesalida, rechazodesalida rechazopopular rechazoporchile
772,24795,mcornejotoro,fmillas, rechazodesalida rechazodesalida rechazodesalida, rechazodesalida rechazocrece
772,24733,mcornejotoro,Franco77923096, rechazodesalida rechazodesalida rechazodesalida, rechazodesalida rechazo
772,9951,mcornejotoro,NathalyLarsen, rechazodesalida rechazodesalida rechazodesalida, rechazodesalida rechazociudadano
776,15589,RechazoMonita,alejandrazarzar, rechazocrece rechazocrece rechazodesalida rechazodesalida2022 rechazoelmamarracho, rechazodesalida rechazodesalida2022 rechazoelmamarracho
776,31078,RechazoMonita,EspinaGisselle, rechazocrece rechazocrece rechazodesalida rechazodesalida2022 rechazoelmamarracho, rechazoelmamarracho rechazodesalida rechazocrece
776,21609,RechazoMonita,careperro2_0, rechazocrece rechazocrece rechazodesalida rechazodesalida2022 rechazoelmamarracho, rechazodesalida2022 rechazoelmamarracho
